127.0.0.1 - - [20/Feb/2023:12:23:42 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Feb/2023:12:23:43 +0900] "GET /reactAPI/dom/dom1.jsp HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [20/Feb/2023:12:23:43 +0900] "GET /favicon.ico HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [20/Feb/2023:12:24:04 +0900] "GET /reactAPI/dom/dom1.jsp HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [20/Feb/2023:12:24:06 +0900] "GET /reactAPI/dom/dom1.jsp HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [20/Feb/2023:12:24:09 +0900] "GET /reactAPI/dom/dom1.jsp HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [20/Feb/2023:12:24:09 +0900] "GET /reactAPI/dom/dom1.jsp HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [20/Feb/2023:12:24:10 +0900] "GET /reactAPI/dom/dom1.jsp HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [20/Feb/2023:12:25:19 +0900] "GET /reactAPI/dom/dom1.jsp HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [20/Feb/2023:12:37:48 +0900] "GET /reactAPI/dom/dom1.jsp HTTP/1.1" 200 977
